Advocate_ID,Full_Name,Bar_Council_Enrollment_Number,City,State,Primary_Court_Level,Court_Name,Specialization,Years_of_Experience,Total_Cases_Handled,Cases_Won,Cases_Lost,Recent_Indian_Case_Type,Average_Case_Duration_Months,Client_Rating_Out_of_5
INDADV00014,Shayak Agrawal,IN0396/2042,Guntur,Haryana,District Court,District Court Pune,Intellectual Property Law,27,61,4,57,Writ Petition (Article 226),16,3.0
INDADV00015,Zaina Dhar,IN5780/2088,Ahmednagar,Haryana,District Court,District Court Sonipat,Civil Law,25,23,11,12,GST Tax Dispute,47,3.6
INDADV00016,Emir Sethi,IN0419/2098,Bongaigaon,Uttar Pradesh,District Court,District Court Madurai,Family Law,11,223,82,141,Dowry Prohibition Case,35,4.8
INDADV00017,Hridaan Dalal,IN8769/2087,Ajmer,Gujarat,District Court,District Court Dindigul,Tax Law,39,1145,231,914,Cheque Bounce Case (NI Act 138),36,4.0
INDADV00018,Devansh Gopal,IN6500/2016,Sirsa,Bihar,High Court,Patna High Court,Family Law,35,840,584,256,Cyber Fraud Case,45,4.8
INDADV00019,Uthkarsh Dara,IN1593/2036,Chinsurah,Kerala,High Court,Kerala High Court,Cyber Law,24,176,22,154,Public Interest Litigation,22,4.4
INDADV00020,Keya Jaggi,IN8729/2087,Ramgarh,Punjab,District Court,District Court Raichur,Criminal Law,14,56,33,23,Public Interest Litigation,48,3.8
INDADV00021,Shamik Sachdeva,IN9612/2090,Bikaner,Tamil Nadu,High Court,Madras High Court,Criminal Law,16,1287,922,365,Public Interest Litigation,21,4.3
INDADV00022,Yuvraj  Lad,IN1477/2039,Hubli–Dharwad,Punjab,District Court,District Court Mau,Labour Law,20,1142,881,261,Cyber Fraud Case,19,4.0
INDADV00023,Rhea Brar,IN8602/2029,Allahabad,Kerala,Supreme Court of India,Supreme Court of India,Criminal Law,35,373,213,160,Cheque Bounce Case (NI Act 138),25,3.3
INDADV00024,Lavanya Lala,IN6477/2059,Tenali,Rajasthan,District Court,District Court Bulandshahr,Family Law,7,383,81,302,GST Tax Dispute,17,4.3
INDADV00025,Kashvi Konda,IN0674/2052,North Dumdum,Madhya Pradesh,Supreme Court of India,Supreme Court of India,Constitutional Law,8,683,94,589,Cheque Bounce Case (NI Act 138),27,3.9
INDADV00026,Hazel Joshi,IN0048/2059,Ghaziabad,Bihar,District Court,District Court Guna,Environmental Law,40,397,322,75,Consumer Protection Case,40,3.9
INDADV00027,Anaya Mani,IN4303/2029,Bally,Tamil Nadu,District Court,District Court Shimoga,Intellectual Property Law,18,438,169,269,Dowry Prohibition Case,35,3.1
INDADV00028,Amani Goswami,IN6307/2091,Guna,Karnataka,High Court,Karnataka High Court,Constitutional Law,31,333,234,99,Dowry Prohibition Case,44,3.4
INDADV00029,Bhavin Subramaniam,IN7300/2094,Thanjavur,Haryana,District Court,District Court Adoni,Criminal Law,10,122,35,87,Property Partition Suit,6,4.6
INDADV00030,Siya Shukla,IN6794/2018,Farrukhabad,Uttar Pradesh,District Court,District Court Gwalior,Civil Law,12,1379,1347,32,Divorce Petition,16,4.7
INDADV00031,Umang Balakrishnan,IN0917/2076,Gandhidham,Rajasthan,High Court,Rajasthan High Court,Criminal Law,23,48,17,31,Divorce Petition,14,3.8
INDADV00032,Anahi Chanda,IN5870/2079,Jaunpur,Rajasthan,District Court,District Court Amroha,Corporate Law,22,261,163,98,Property Partition Suit,30,4.7
INDADV00033,Tushar Khare,IN0769/2039,Guntakal,Tamil Nadu,District Court,District Court Arrah,Cyber Law,4,1438,1214,224,Property Partition Suit,48,4.7
INDADV00034,Aarna Khosla,IN4135/2010,Rohtak,Delhi,District Court,District Court Delhi,Corporate Law,33,1451,439,1012,Consumer Protection Case,17,3.6
INDADV00035,Emir Dhillon,IN8412/2066,Rajkot,Rajasthan,District Court,District Court Jabalpur,Intellectual Property Law,39,1108,951,157,IPC Section 420 - Cheating,25,3.7
INDADV00036,Adah Mall,IN2534/2035,Kolhapur,Bihar,District Court,District Court Bhiwandi,Cyber Law,11,624,80,544,Land Acquisition Dispute,45,3.1
INDADV00037,Oorja Dhillon,IN6500/2095,Unnao,Uttar Pradesh,High Court,Allahabad High Court,Cyber Law,13,319,277,42,Property Partition Suit,39,4.6
INDADV00038,Zeeshan Bajwa,IN7964/2092,Pune,Karnataka,District Court,District Court Hosur,Tax Law,13,289,167,122,GST Tax Dispute,30,4.3
INDADV00039,Charvi Choudhury,IN0891/2092,Bikaner,Tamil Nadu,High Court,Madras High Court,Corporate Law,1,920,671,249,Writ Petition (Article 226),31,4.8
INDADV00040,Anahi Kota,IN8765/2050,Bhagalpur,Delhi,District Court,District Court Hajipur,Tax Law,4,65,26,39,Property Partition Suit,15,4.7
INDADV00041,Shaan Bumb,IN2963/2015,Tezpur,Uttar Pradesh,Supreme Court of India,Supreme Court of India,Tax Law,10,994,250,744,Cyber Fraud Case,15,4.9
INDADV00042,Samiha Sur,IN0031/2003,Begusarai,West Bengal,District Court,District Court Amritsar,Tax Law,23,1087,383,704,Land Acquisition Dispute,38,3.7
INDADV00043,Neysa Walia,IN1518/2031,Lucknow,Tamil Nadu,District Court,District Court Kadapa,Labour Law,29,95,85,10,IPC Section 420 - Cheating,10,3.7
INDADV00044,Ritvik Varghese,IN4888/2085,Delhi,Kerala,District Court,District Court Hosur,Intellectual Property Law,10,1063,793,270,Dowry Prohibition Case,33,3.9
INDADV00045,Misha Baria,IN4826/2082,Gorakhpur,Gujarat,District Court,District Court Allahabad,Cyber Law,23,881,535,346,IPC Section 302 - Murder,23,3.3
INDADV00046,Mamooty Bhalla,IN9185/2010,Morena,Maharashtra,District Court,District Court Guna,Family Law,31,578,431,147,Cheque Bounce Case (NI Act 138),27,3.5
INDADV00047,Pranay Gara,IN5816/2057,Bidhannagar,Gujarat,High Court,Gujarat High Court,Criminal Law,39,1112,491,621,IPC Section 302 - Murder,14,4.0
INDADV00048,Ayesha Halder,IN7291/2035,Alappuzha,Bihar,Supreme Court of India,Supreme Court of India,Constitutional Law,17,647,237,410,Consumer Protection Case,35,4.3
INDADV00049,Mehul Cheema,IN4127/2007,Ramgarh,Gujarat,High Court,Gujarat High Court,Civil Law,4,129,118,11,Cheque Bounce Case (NI Act 138),46,4.4
INDADV00050,Neelofar Chaudhuri,IN3262/2048,Hyderabad,Tamil Nadu,District Court,District Court Tadipatri,Family Law,25,979,320,659,Divorce Petition,33,3.2
INDADV00051,Farhan Chahal,IN6373/2020,Anantapur,Gujarat,District Court,District Court Nellore,Tax Law,9,372,360,12,Divorce Petition,39,5.0
INDADV00052,Advik Aurora,IN6973/2006,Phusro,Karnataka,District Court,District Court Bhiwani,Civil Law,9,1285,1269,16,Divorce Petition,24,4.7
INDADV00053,Riaan Krishna,IN4676/2016,Muzaffarpur,Haryana,District Court,District Court Bhavnagar,Environmental Law,17,1118,670,448,Public Interest Litigation,24,3.0
INDADV00054,Sana Manne,IN6031/2030,Agartala,Karnataka,District Court,District Court Dewas,Family Law,31,1010,930,80,Writ Petition (Article 226),40,4.5
INDADV00055,Dhanuk Doctor,IN8604/2071,Varanasi,West Bengal,District Court,District Court Katni,Intellectual Property Law,1,123,116,7,IPC Section 420 - Cheating,12,4.8
INDADV00056,Riya Brar,IN8713/2099,Meerut,Tamil Nadu,District Court,District Court Agra,Family Law,37,685,628,57,GST Tax Dispute,24,3.6
INDADV00057,Inaaya  Handa,IN2352/2014,Bhilai,Telangana,High Court,Telangana High Court,Constitutional Law,10,910,770,140,Writ Petition (Article 226),46,4.2
INDADV00058,Oorja Khosla,IN4438/2052,Jalgaon,Karnataka,District Court,District Court Sagar,Environmental Law,19,161,100,61,Public Interest Litigation,9,4.4
INDADV00059,Navya Comar,IN3776/2036,Morbi,Delhi,District Court,District Court Muzaffarnagar,Environmental Law,15,355,197,158,Dowry Prohibition Case,42,3.0
INDADV00060,Vidur Walla,IN6125/2002,Karaikudi,Karnataka,District Court,District Court Dehri,Tax Law,36,1110,446,664,Consumer Protection Case,12,3.4
INDADV00061,Myra Upadhyay,IN7455/2068,Aligarh,Maharashtra,High Court,Bombay High Court,Corporate Law,8,1412,47,1365,Cyber Fraud Case,37,3.1
INDADV00062,Adira Devan,IN4891/2018,Anantapuram,West Bengal,High Court,Calcutta High Court,Criminal Law,5,687,367,320,Land Acquisition Dispute,31,4.1
INDADV00063,Kashvi Sawhney,IN0089/2014,Gurgaon,Uttar Pradesh,High Court,Allahabad High Court,Family Law,9,216,164,52,Writ Petition (Article 226),31,4.3
INDADV00064,Ryan Koshy,IN3029/2067,Hajipur,Haryana,High Court,Punjab and Haryana High Court,Constitutional Law,2,749,523,226,Divorce Petition,6,4.8
INDADV00065,Alia Gupta,IN5427/2098,Anantapuram,Karnataka,District Court,District Court Barasat,Criminal Law,19,836,231,605,Cyber Fraud Case,10,4.7
INDADV00066,Vihaan Magar,IN7892/2031,Kanpur,Punjab,High Court,Punjab and Haryana High Court,Environmental Law,10,895,289,606,Dowry Prohibition Case,30,4.0
INDADV00067,Yashvi Bir,IN5106/2039,Ambarnath,Tamil Nadu,District Court,District Court Sultan Pur Majra,Corporate Law,6,1134,772,362,Cheque Bounce Case (NI Act 138),43,5.0
INDADV00068,Ira Dash,IN0225/2083,Kakinada,Punjab,District Court,District Court Bokaro,Constitutional Law,35,292,259,33,Dowry Prohibition Case,8,3.6
INDADV00069,Ryan Sahota,IN1581/2083,Sri Ganganagar,Delhi,District Court,District Court Dehradun,Corporate Law,35,81,30,51,Property Partition Suit,19,3.6
INDADV00070,Ira Kapoor,IN0935/2096,Raebareli,Karnataka,District Court,District Court Ghaziabad,Civil Law,33,1420,227,1193,Divorce Petition,19,4.7
INDADV00071,Anya Kadakia,IN0267/2067,Rajpur Sonarpur,Punjab,District Court,District Court Giridih,Tax Law,30,562,251,311,IPC Section 420 - Cheating,21,3.7
INDADV00072,Anaya Salvi,IN3005/2092,Srinagar,Telangana,High Court,Telangana High Court,Environmental Law,8,651,11,640,Dowry Prohibition Case,17,3.1
INDADV00073,Fateh Grewal,IN4044/2060,Bhatpara,Maharashtra,District Court,District Court Chennai,Intellectual Property Law,1,1281,1236,45,IPC Section 302 - Murder,25,4.4
INDADV00074,Bhavin Arora,IN6641/2013,Jabalpur,Uttar Pradesh,District Court,District Court Chennai,Family Law,29,1114,974,140,Dowry Prohibition Case,23,3.5
INDADV00075,Zoya Ray,IN6728/2098,Munger,Punjab,District Court,District Court Guna,Environmental Law,24,1156,576,580,Divorce Petition,40,3.8
INDADV00076,Lakshit Dhingra,IN3788/2022,Begusarai,Delhi,High Court,Delhi High Court,Civil Law,8,1114,810,304,Property Partition Suit,30,3.2
INDADV00077,Anahita Sami,IN1339/2043,Sagar,Delhi,Supreme Court of India,Supreme Court of India,Cyber Law,20,1007,166,841,Divorce Petition,14,3.6
INDADV00078,Jivin Mandal,IN8473/2076,North Dumdum,Maharashtra,High Court,Bombay High Court,Tax Law,2,433,380,53,Public Interest Litigation,8,4.5
INDADV00079,Hridaan Amble,IN1393/2000,Jalandhar,Uttar Pradesh,High Court,Allahabad High Court,Cyber Law,38,1374,955,419,Cyber Fraud Case,17,4.2
INDADV00080,Ritvik Karnik,IN5895/2083,Karawal Nagar,Uttar Pradesh,High Court,Allahabad High Court,Corporate Law,39,799,368,431,Land Acquisition Dispute,44,4.3
INDADV00081,Stuvan Ramanathan,IN6195/2084,Ranchi,Uttar Pradesh,District Court,District Court Mangalore,Civil Law,5,1356,446,910,IPC Section 302 - Murder,12,3.1
INDADV00082,Aaryahi Deshpande,IN7351/2094,Cuttack,Bihar,District Court,District Court Ulhasnagar,Civil Law,1,811,65,746,Cheque Bounce Case (NI Act 138),16,4.6
INDADV00083,Samar Vasa,IN3868/2011,Bhalswa Jahangir Pur,Maharashtra,District Court,District Court Kirari Suleman Nagar,Family Law,21,781,681,100,Writ Petition (Article 226),47,4.4
INDADV00084,Rasha Seshadri,IN2369/2028,Bongaigaon,Rajasthan,District Court,District Court Kishanganj,Family Law,2,1071,985,86,IPC Section 420 - Cheating,35,3.3
INDADV00085,Vritika Kala,IN3471/2071,Belgaum,Punjab,High Court,Punjab and Haryana High Court,Family Law,38,869,392,477,IPC Section 420 - Cheating,36,4.0
INDADV00086,Reyansh Doctor,IN1191/2024,Shivpuri,Bihar,District Court,District Court Maheshtala,Corporate Law,31,648,505,143,Dowry Prohibition Case,26,4.2
INDADV00087,Misha Bose,IN8811/2094,Mathura,Uttar Pradesh,District Court,District Court Nandyal,Intellectual Property Law,31,1184,871,313,IPC Section 420 - Cheating,16,4.4
INDADV00088,Adah Jani,IN9878/2095,Kirari Suleman Nagar,Kerala,District Court,District Court Hapur,Corporate Law,24,1016,225,791,Cheque Bounce Case (NI Act 138),18,3.7
INDADV00089,Ojas Malhotra,IN8086/2024,Tiruppur,Maharashtra,District Court,District Court Bokaro,Environmental Law,40,1059,805,254,Land Acquisition Dispute,36,4.3
INDADV00090,Keya Bhalla,IN4262/2085,Tiruppur,Karnataka,District Court,District Court Patiala,Corporate Law,1,699,62,637,GST Tax Dispute,13,3.2
INDADV00091,Dhanush Devan,IN4950/2072,Anantapuram,Punjab,District Court,District Court Ajmer,Criminal Law,23,467,314,153,Divorce Petition,26,4.2
INDADV00092,Advik Doctor,IN7313/2086,Fatehpur,West Bengal,District Court,District Court Bharatpur,Criminal Law,26,559,170,389,Property Partition Suit,16,3.1
INDADV00093,Reyansh Dhawan,IN4682/2052,Haldia,Uttar Pradesh,District Court,District Court Durgapur,Cyber Law,19,953,506,447,Property Partition Suit,26,3.5
INDADV00094,Yashvi Ramaswamy,IN5740/2079,Navi Mumbai,Punjab,District Court,District Court Bokaro,Constitutional Law,30,1235,825,410,Land Acquisition Dispute,34,3.6
INDADV00095,Neelofar Mandal,IN2222/2008,Jalna,Delhi,High Court,Delhi High Court,Environmental Law,30,744,731,13,Cheque Bounce Case (NI Act 138),31,3.1
INDADV00096,Tushar Bhargava,IN2421/2071,Nandyal,Delhi,District Court,District Court Jaunpur,Environmental Law,35,916,626,290,GST Tax Dispute,18,3.1
INDADV00097,Darshit Sem,IN7705/2007,Hajipur,Punjab,District Court,District Court Durgapur,Constitutional Law,5,832,710,122,Public Interest Litigation,24,4.1
INDADV00098,Divij Gole,IN7918/2004,Kurnool,Uttar Pradesh,District Court,District Court Indore,Environmental Law,4,433,346,87,Property Partition Suit,29,4.4
INDADV00099,Vritika Gaba,IN4222/2074,Malda,West Bengal,District Court,District Court Bally,Intellectual Property Law,26,814,800,14,Cyber Fraud Case,8,4.0
INDADV00100,Rasha Gaba,IN6621/2072,Rajahmundry,Gujarat,Supreme Court of India,Supreme Court of India,Cyber Law,3,1278,554,724,Public Interest Litigation,23,3.6
INDADV00101,Himmat Bhattacharyya,IN3943/2022,Shimoga,West Bengal,District Court,District Court Baranagar,Tax Law,31,1450,387,1063,Cyber Fraud Case,24,4.4
INDADV00102,Aarav Rastogi,IN9388/2040,Medininagar,Bihar,District Court,District Court Coimbatore,Intellectual Property Law,2,353,93,260,IPC Section 420 - Cheating,35,4.3
INDADV00103,Dhanush Kuruvilla,IN6942/2063,Gulbarga,Telangana,District Court,District Court Bhalswa Jahangir Pur,Constitutional Law,20,1253,832,421,Public Interest Litigation,21,4.9
INDADV00104,Hunar Dhawan,IN3876/2090,Danapur,Gujarat,District Court,District Court Begusarai,Civil Law,38,175,66,109,Public Interest Litigation,27,5.0
INDADV00105,Sara Talwar,IN8477/2092,Vijayawada,Telangana,High Court,Telangana High Court,Cyber Law,4,214,113,101,Property Partition Suit,17,3.1
INDADV00106,Riya Bakshi,IN8212/2062,Srinagar,Bihar,High Court,Patna High Court,Criminal Law,25,1464,831,633,Writ Petition (Article 226),44,4.7
INDADV00107,Trisha Deo,IN4602/2096,Shimoga,Haryana,High Court,Punjab and Haryana High Court,Corporate Law,32,90,45,45,Dowry Prohibition Case,21,4.3
INDADV00108,Jhanvi Suresh,IN6442/2016,Shahjahanpur,Karnataka,District Court,District Court Aligarh,Civil Law,36,868,394,474,IPC Section 420 - Cheating,16,4.3
INDADV00109,Anika Edwin,IN4687/2087,Sikar,Karnataka,High Court,Karnataka High Court,Constitutional Law,30,1081,491,590,Property Partition Suit,38,4.1
INDADV00110,Himmat Bassi,IN7240/2059,Sultan Pur Majra,Tamil Nadu,District Court,District Court Anand,Criminal Law,6,708,278,430,Public Interest Litigation,36,3.5
INDADV00111,Fateh Edwin,IN1926/2047,Chandigarh,Punjab,High Court,Punjab and Haryana High Court,Criminal Law,25,1059,689,370,Public Interest Litigation,14,3.1
INDADV00112,Baiju Shetty,IN1030/2079,Guna,Tamil Nadu,High Court,Madras High Court,Intellectual Property Law,19,162,152,10,Dowry Prohibition Case,17,4.7
INDADV00113,Ojas Varma,IN6165/2092,Bally,Karnataka,High Court,Karnataka High Court,Family Law,28,138,31,107,GST Tax Dispute,42,3.0
INDADV00114,Siya Bobal,IN5619/2071,Silchar,Uttar Pradesh,High Court,Allahabad High Court,Intellectual Property Law,23,157,49,108,Property Partition Suit,7,4.8
INDADV00115,Rasha Gola,IN6211/2083,Thoothukudi,Madhya Pradesh,High Court,Madhya Pradesh High Court,Constitutional Law,36,1132,1124,8,IPC Section 302 - Murder,14,4.7
INDADV00116,Priyansh Wagle,IN0888/2047,Guna,Punjab,District Court,District Court Sikar,Civil Law,15,1121,117,1004,Land Acquisition Dispute,17,5.0
INDADV00117,Nehmat Sidhu,IN0475/2001,Vijayawada,Gujarat,High Court,Gujarat High Court,Criminal Law,29,93,87,6,Cyber Fraud Case,10,3.2
INDADV00118,Alisha Anne,IN1225/2037,Ambala,Rajasthan,District Court,District Court Jehanabad,Labour Law,4,134,18,116,Cheque Bounce Case (NI Act 138),46,4.4
INDADV00119,Dhruv Maharaj,IN6872/2092,Ambattur,Rajasthan,District Court,District Court Jammu,Labour Law,10,293,242,51,Property Partition Suit,40,3.0
INDADV00120,Adah Sinha,IN6137/2078,Nangloi Jat,Punjab,District Court,District Court Bathinda,Family Law,11,1187,740,447,Consumer Protection Case,38,4.0
INDADV00121,Aayush Kuruvilla,IN1574/2022,Bardhaman,Gujarat,District Court,District Court Ambala,Civil Law,19,1326,443,883,Divorce Petition,8,3.5
INDADV00122,Oorja Vasa,IN2375/2031,Belgaum,Haryana,High Court,Punjab and Haryana High Court,Civil Law,18,127,104,23,Cyber Fraud Case,12,3.3
INDADV00123,Romil Mani,IN3063/2084,Amravati,Madhya Pradesh,District Court,District Court Aizawl,Tax Law,16,1000,570,430,GST Tax Dispute,20,4.6
INDADV00124,Tushar Ray,IN3686/2069,Madhyamgram,Delhi,High Court,Delhi High Court,Civil Law,26,1313,1161,152,Property Partition Suit,29,4.7
INDADV00125,Anay Keer,IN8340/2027,Allahabad,Telangana,High Court,Telangana High Court,Corporate Law,8,1077,579,498,IPC Section 302 - Murder,25,3.4
INDADV00126,Lakshit Bhatnagar,IN5322/2077,Satna,Maharashtra,High Court,Bombay High Court,Intellectual Property Law,6,309,146,163,IPC Section 302 - Murder,46,4.6
INDADV00127,Advika Chakrabarti,IN1766/2094,Bellary,Kerala,District Court,District Court Bihar Sharif,Labour Law,36,1451,418,1033,Land Acquisition Dispute,13,4.3
INDADV00128,Alia Mahal,IN8148/2099,Tezpur,Uttar Pradesh,Supreme Court of India,Supreme Court of India,Environmental Law,36,326,250,76,Dowry Prohibition Case,31,3.6
INDADV00129,Damini Sidhu,IN6384/2029,Raipur,Karnataka,District Court,District Court Durgapur,Cyber Law,20,981,645,336,Consumer Protection Case,18,4.4
INDADV00130,Chirag Sahni,IN8506/2006,Jehanabad,Maharashtra,District Court,District Court Ramagundam,Corporate Law,2,739,265,474,Writ Petition (Article 226),20,3.1
INDADV00131,Akarsh Dewan,IN3194/2070,North Dumdum,Haryana,District Court,District Court Avadi,Constitutional Law,6,1042,741,301,GST Tax Dispute,15,3.2
INDADV00132,Drishya Singhal,IN1508/2070,Purnia,Bihar,High Court,Patna High Court,Environmental Law,10,1166,1038,128,Cyber Fraud Case,13,4.9
INDADV00133,Tara Ray,IN4983/2038,Chennai,Madhya Pradesh,District Court,District Court Mira-Bhayandar,Family Law,39,477,347,130,IPC Section 302 - Murder,42,4.6
INDADV00134,Riya Lal,IN1018/2099,Bettiah,Madhya Pradesh,District Court,District Court Dehri,Cyber Law,38,344,249,95,Consumer Protection Case,7,3.3
INDADV00135,Advik Mand,IN2778/2043,Kochi,Delhi,District Court,District Court Kharagpur,Intellectual Property Law,37,335,35,300,Cyber Fraud Case,23,3.4
INDADV00136,Dhruv Bhasin,IN8008/2056,Hindupur,Telangana,District Court,District Court Darbhanga,Family Law,2,167,90,77,Consumer Protection Case,19,3.6
INDADV00137,Anahita Sha,IN9607/2072,Jorhat,Madhya Pradesh,District Court,District Court Kadapa,Constitutional Law,7,1421,718,703,IPC Section 302 - Murder,43,3.7
INDADV00138,Anaya Bala,IN4050/2065,Ambala,Punjab,District Court,District Court Morbi,Intellectual Property Law,23,265,33,232,Consumer Protection Case,22,3.4
INDADV00139,Anya Atwal,IN0887/2050,Bahraich,Telangana,High Court,Telangana High Court,Corporate Law,13,215,59,156,Consumer Protection Case,25,4.9
INDADV00140,Zara Luthra,IN9703/2070,Bhagalpur,Uttar Pradesh,High Court,Allahabad High Court,Labour Law,22,981,682,299,Divorce Petition,34,4.6
INDADV00141,Zain Deol,IN8718/2057,Panvel,Madhya Pradesh,District Court,District Court Panvel,Labour Law,36,1077,562,515,Writ Petition (Article 226),40,3.3
INDADV00142,Piya Shroff,IN0267/2031,Vijayanagaram,Maharashtra,District Court,District Court Baranagar,Criminal Law,23,711,245,466,Divorce Petition,44,3.4
INDADV00143,Amani Ray,IN8690/2054,Hazaribagh,Rajasthan,District Court,District Court Firozabad,Labour Law,34,874,275,599,IPC Section 302 - Murder,43,3.4
INDADV00144,Jivin Master,IN5603/2051,Rajkot,West Bengal,High Court,Calcutta High Court,Civil Law,17,22,17,5,Cheque Bounce Case (NI Act 138),7,4.2
INDADV00145,Kanav Bahl,IN9879/2018,Kadapa,Madhya Pradesh,High Court,Madhya Pradesh High Court,Tax Law,5,1255,613,642,Cyber Fraud Case,43,4.9
INDADV00146,Fateh Master,IN1942/2006,Amritsar,Tamil Nadu,High Court,Madras High Court,Civil Law,24,60,50,10,GST Tax Dispute,19,3.9
INDADV00147,Kavya Sarraf,IN3333/2037,Saharsa,Telangana,District Court,District Court Aizawl,Cyber Law,7,506,0,506,IPC Section 420 - Cheating,42,3.2
INDADV00148,Riaan Bedi,IN9563/2003,Siliguri,Telangana,District Court,District Court Bellary,Constitutional Law,26,1038,310,728,Dowry Prohibition Case,22,4.8
INDADV00149,Tiya Sharaf,IN1855/2006,Bally,Maharashtra,High Court,Bombay High Court,Civil Law,28,272,107,165,Dowry Prohibition Case,36,3.3
INDADV00150,Samar Andra,IN4287/2035,Shimoga,West Bengal,District Court,District Court Khandwa,Corporate Law,22,1156,399,757,IPC Section 302 - Murder,30,4.5
INDADV00151,Anahita Ratta,IN7841/2064,Pune,Bihar,District Court,District Court Rohtak,Civil Law,2,197,17,180,Divorce Petition,47,4.3
INDADV00152,Pihu Dugal,IN5577/2047,Jaipur,Tamil Nadu,High Court,Madras High Court,Civil Law,15,443,292,151,GST Tax Dispute,21,4.8
INDADV00153,Kaira Deshmukh,IN5502/2082,Erode,Maharashtra,District Court,District Court Dibrugarh,Tax Law,25,1354,1146,208,Cyber Fraud Case,24,3.5
INDADV00154,Armaan Zachariah,IN5217/2057,Buxar,Gujarat,District Court,District Court Udaipur,Cyber Law,36,102,101,1,Consumer Protection Case,6,4.7
INDADV00155,Ranbir Venkatesh,IN4210/2004,Kalyan-Dombivli,Gujarat,Supreme Court of India,Supreme Court of India,Tax Law,30,93,24,69,Cheque Bounce Case (NI Act 138),42,3.5
INDADV00156,Elakshi Barad,IN2692/2094,Gwalior,Kerala,High Court,Kerala High Court,Family Law,9,1006,559,447,GST Tax Dispute,42,3.0
INDADV00157,Divij Dani,IN4165/2060,Amroha,Madhya Pradesh,High Court,Madhya Pradesh High Court,Intellectual Property Law,36,336,24,312,GST Tax Dispute,16,4.8
INDADV00158,Nitya Varma,IN7912/2002,Varanasi,Haryana,High Court,Punjab and Haryana High Court,Tax Law,16,40,18,22,IPC Section 420 - Cheating,19,4.0
INDADV00159,Fateh Cheema,IN9992/2070,Madhyamgram,Madhya Pradesh,District Court,District Court Farrukhabad,Cyber Law,12,522,105,417,GST Tax Dispute,12,4.5
INDADV00160,Mannat Ganesh,IN6583/2023,Bhatpara,Maharashtra,High Court,Bombay High Court,Intellectual Property Law,31,785,9,776,Cheque Bounce Case (NI Act 138),12,3.4
INDADV00161,Anay Bir,IN8275/2053,Erode,Maharashtra,District Court,District Court Silchar,Labour Law,16,325,269,56,Cheque Bounce Case (NI Act 138),29,5.0
INDADV00162,Darshit Batra,IN2945/2013,Panvel,Haryana,District Court,District Court Gaya,Intellectual Property Law,30,1288,978,310,Land Acquisition Dispute,25,3.3
INDADV00163,Shlok Dara,IN8383/2009,Gandhidham,West Bengal,District Court,District Court Kolkata,Constitutional Law,27,1236,826,410,Dowry Prohibition Case,9,3.4
INDADV00164,Taran Krish,IN8893/2064,Kavali,Telangana,High Court,Telangana High Court,Corporate Law,15,410,122,288,Consumer Protection Case,11,3.6
